URL,Title,Address
https://newyork.craigslist.org/brk/egr/d/procore-data-management/6620553508.html,Procore Data Management,
https://newyork.craigslist.org/que/egr/d/hvac-estimator/6620438567.html,HVAC Estimator,Maspeth
https://newyork.craigslist.org/mnh/egr/d/high-end-interior-design-firm/6620435225.html,High-end Interior Design Firm seeks Receptionist,New York
https://newyork.craigslist.org/mnh/egr/d/architecture-student-for/6620376773.html,Architecture Student for assistance w/ Architectural Portfolio Design,Fidi
https://newyork.craigslist.org/mnh/egr/d/project-manager-intake/6620322639.html,Project Manager & Intake Coordinator - Design/Architecture background,Midtown East
https://newyork.craigslist.org/mnh/egr/d/expediting-project-manager/6620242550.html,Expediting Project Manager,Downtown
https://newyork.craigslist.org/que/egr/d/structural-engineer/6620015759.html,Structural Engineer,
https://newyork.craigslist.org/lgi/egr/d/construction-firm-seeking/6619966585.html,"Construction firm seeking Architects, Engineers, & Estimators",Westbury
https://newyork.craigslist.org/mnh/egr/d/interior-designer-draftsman/6619955166.html,Interior Designer/ Draftsman,TriBeCa
https://newyork.craigslist.org/stn/egr/d/architectural-project-manager/6619919823.html,Architectural Project manager,
https://newyork.craigslist.org/stn/egr/d/architectural-project-manager/6619919823.html,Architectural Project manager,
